japanese_expression,english_meaning,grammar_structure,labels,notes,example_1,example_2,example_3,example_4,example_5
というもの(to iu mono),during; for; since; over a period of time,"Meaning 意味 during; for; since; over a period of time
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun (time unit) というもの",jlpt_n1,,"この一週間というもの、そればっかりです。
kono isshuukan to iu mono, sore bakkari desu.
We've had nothing else this past week","引っ越ししてからのこの１週間というもの、ずっと荷物の整理をしている。
hikkoshi shite kara no kono isshuukan to iu mono, zutto nimotsu no seiri o shiteiru.
I've been organizing my luggage for the past week since I moved.","彼女は3年間というもの、完全に自分の小説を書くことに没頭した。
kanojo wa 3 nenkan to iu mono, kanzen ni jibun no shousetsu o kaku koto ni bottou shita.
For three years she was completely absorbed in writing her novel.","この１週間というもの、納期が近いので残業が続いている。
kono isshuukan to iu mono, nouki ga chikai node zangyou ga tsudzuite iru.
Overtime has continued for the past week because the delivery date is near.","この一ヶ月間というもの、仕事が忙しくて朝ごはんをろくに食べていない。
kono ikkagetsu kan to iu mono, shigoto ga isogashikute asagohan o rokuni tabeteinai.
I haven't properly eaten breakfast for the past month because I've been busy with work."
というところだ / といったところだ(to iu tokoro da / to itta tokoro da),at the most; no more than​; at best; roughly; about ~,"Meaning 意味 at the most; no more than​; at best; roughly; about ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: ところ expressions
How to use 使い方 Noun というところだ といったところだ ってところだ",jlpt_n1,,"彼女は多く見ても２０歳というところだ。
kanojo wa ooku mitemo hatachi to iu tokoro da.
She is 20 years old at most.","ジムに行くのは週2、3回というところだ。
jimu ni iku no wa shuu 2, 3 kai to iu tokoro da.
I go to the gym at best 2 to 3 times a week.","日本語の勉強時間は2、3時間というところだ。
nihongo no benkyou jikan wa 2, 3 jikan to iu tokoro da.
The time I spend studying Japanese is no more than 2 to 3 hours each day.","時給は850円から1,000円というところだ。
jikyuu wa happyaku gojuu en kara, senen to iu tokoro da.
The hourly wage is from 850 to no more than 1,000 yen.","明日の気温は２０度から３０度といったところです。
ashita no kion wa 20 do kara 30 do to itta tokoro desu.
Tomorrow's temperature will be around 20 to 30 degrees Celsius."
というわけだ(to iu wake da),that's why; no wonder; this means; it is the case that ~,"Meaning 意味 that's why; no wonder; this means; it is the case that ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Phrase というわけだ というわけです",jlpt_n1,,"それが私たちの目的というわけです。
sore ga watashitachi no mokuteki to iu wake da.
That is our goal.","じゃあ、あと１時間ぐらいはいられるというわけですね。
jaa, ato 1 jikan gurai wa irareru to iu wake desu ne.
So this means you will still be around for another hour or so?","あの男と結婚するというわけだね。
ano otoko to kekkon suru to iu wake dane.
In other words you plan to marry that man?","結局は損をせずにすんだというわけだ。
kekkyoku wa son o sezu ni sunda to iu wake da.
The fortuante part of this was that I got off without any loss.","それで君は全ての役割をはたして、私が感謝するというわけだ。
sore de kimi wa subete no yakuwari o hatashite, watashi ga kansha suru to iu wake da.
Then you will have played your part and earned my gratitude completely."
といわず～といわず(to iwazu~to iwazu),"both; not only A or B, but (overall) ~","Meaning 意味 both; not only A or B, but (overall) ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun-1 といわず Noun-2 といわず",jlpt_n1,,"顔といわず、手といわず泥まみれだ。
kao to iwazu, te to iwazu doro mamire da.
Their face and hands and everything are covered in mud.","晴れといわず雨といわずジョギングをしている。
hare to iwazu ame to iwazu jogingu o shite iru.
Rain or sunshine or whatever the weather may be, I always go jogging.","社長は平日といわず週末といわず仕事をしている。
shachou wa heijitsu to iwazu shuumatsu to iwazu shigoto o shite iru.
The company president is always working, both on weekdays and on weekends.","僕は、鶏肉といわず、牛肉といわず、肉は食べません。
boku wa, tori niku to iwazu, gyuu niku to iwazu, niku wa tabemasen.
I don't eat meat of any kind, be it chicken, beef, or whatever.","日本人は、子どもといわず、大人といわず、漫画をよく読みます。
nihonjin wa, kodomo to iwazu, otona to iwazu, manga o yoku yomimasu.
Japanese people, both children and adults, love to read comics."
とみると(to miru to),"as soon as one realizes ..., then ~","Meaning 意味 as soon as one realizes ..., then ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (casual) とみると Noun +（だ） な-adjective い-adjective + い",jlpt_n1,,"彼女は、店員が中国人だとみると、中国語で話しかける。
kanojo wa, tenin ga chuugokujin da to miru to, chuugokugo de hanashi kakeru.
After realizing the shop staff is Chinese, she speaks to them in Chinese.","本格的なイタリア料理屋ではないとみると、彼女はガッカリしていて、少ししか食べなかった。
honkaku tekina itaria ryouriya dewa nai to miru to, kanojo wa gakkari shite ite, sukoshi shika tabenakatta.
After realizing that it wasn't a full-fledged Italian restaurant, she was disappointed and only ate a little.","妹は、男の人にお金げないとみると、急にその人に興味がなくなるようだ。
imouto wa, otoko no hito ni okane ga nai to miru to, kyuuni sono hito ni kyoumi ga naku naru you da.
As soon as she notices that a man has no money, she loses interest.","困難になっている人とみると、必ず助けてあげたくなる。
konnan ni natte iru hito to miru to, kanarazu tasukete agetaku naru.
After realizing someone is in trouble, I definitely want to help them right away.","同僚は問題がちょっと難しいとみると、自分で考えないで人に聞く。
douryou wa mondai ga chotto muzukashii to miru to, jibun de kangaenai de hito ni kiku.
As soon as my colleague finds a question a little difficult, he ask others for help without thinking for himself."
となると / となれば(to naru to / to nareba),when it comes to; in such a case; if that happens,"Meaning 意味 when it comes to; in such a case; if that happens
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (casual) と（も）なると と（も）なれば となったら Noun な-adjective い-adjective",jlpt_n1,,"いざ出発となると、不安になってきた。
iza shuppatsu to naru to, fuan ni natte kita.
When it came time to leave, I became anxious.","彼はとてもいいひとですが結婚となると、ちょっと頼りない気がする。
kare wa totemo ii hito desuga kekkon to naru to, chotto tayorinai ki ga suru.
He is a very nice person, but when it comes to marriage, he feels a little unreliable.","あのような一流レストランともなると、男性はネクタイが必要です。
ano you na ichi ryuu resutoran to mo naru to, dansei wa nekutai ga hitsuyou desu.
When it comes to such a top-notch restaurant, men need to wear a tie.","銀行でお金を借りるとなれば、手続きが大変です。
ginkou de okane o kariru to nareba, tetsudzuki ga taihen desu.
When it comes to borrowing money at a bank, the procedure is difficult.","今年、JLPT N1を受けるとなると、今の２倍は勉強しなければならないだろう。
kotoshi, JLPT N1 o ukeru to naru to, ima no 2 bai wa benkyou shinakereba naranai darou.
If you will take JLPT N1 this year, you will have to study twice as much as you do now."
とされる(to sareru),is considered to; it is said that ~,"Meaning 意味 is considered to; it is said that ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Sentence とされる とされている Noun",jlpt_n1,,"彼のやったことは法律違反とされる。
kare no yatta koto wa houritsu ihan to sareru.
What he did is considered a violation of the law.","息子は社会人として必要とされている知識に欠ける。
musuko wa shakaijin toshite hitsuyou to sareteiru chishiki ni kakeru.
My son is lacking knowledge considered necessary to survive in society as an adult.","世界的に１３日の金曜日は不吉な日とされている。
sekai teki ni 13 nichi no kinyoubi wa fukitsu na hi to sarete iru.
Friday the 13th is considered an unlucky day worldwide.","この会社には、良い指導者がいないのが一番の問題とされている。
kono kaisha ni wa, yoi shidousha ga inai no ga ichiban no mondai to sareteiru.
The fact that there aren't any good leaders is considered to be this company's biggest problem.","この物質は植物の生長を促進するとされる。
kono busshitsu wa shokubutsu no seichou o sokushin suru to sareru.
This substances is considered to promote plant growth."
ところを(tokoro o),although (it is a certain time/condition); even though normally,"Meaning 意味 although (it is a certain time/condition); even though normally
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions , Japanese particles , ところ expressions
How to use 使い方 Verb (casual) ところを Noun + の な-adjective + な い-adjective",jlpt_n1,,"お忙しいところをお集まりいただき、ありがとうございます。
oisogashii tokoro o o atsumari itadaki, arigatou gozaimasu.
Thank you for taking time out of your busy schedules to gather here.","先生、お忙しいところをすみません。ちょっとこれを教えていただけませんか。
sensei, o isogashii tokoro o sumimasen. chotto kore o oshiete itadakemasen ka.
Teacher, I'm sorry to disturb you when you are busy, but could you please teach me about this?","いつもは電車で会社に行くところを、今日は車で行った。
itsumo wa densha de kaisha ni iku tokoro o, kyou wa kuruma de itta.
Although I normally go to work by train, today I went by car.","交通事故で命が危ないところを、その医者に助けてもらいました。
koutsuu jiko de inochi ga abunai tokoro o, sono isha ni tasukete moraimashita.
I was saved by a doctor when I was in a life threatening traffic accident.","すぐにご報告しなければならないところを遅くなってしまって申し訳ありません。
sugu ni go houkoku shinakereba naranai tokoro o osoku natte shimatte moushiwake arimasen.
I am very sorry for the delay in time to report this when it should have been reported immediately."
ともなく / ともなしに(tomo naku / tomo nashi ni),somehow; without knowing; without thinking; unconsciously​ ~,"Meaning 意味 somehow; without knowing; without thinking; unconsciously​ ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 1) Verb (dictionary) ともなく ともなしに 2) interrogative word + (particle) 疑問詞 ＋ (助詞)",jlpt_n1,,"休みの日にはどこへ行くともなしにドライブすることが多い。
yasumi no hi ni wa doko e iku tomo nashi ni doraibu suru koto ga ooi.
On my days off, I often drive without any destination in mind.","チラシを見るともなく見ていたら、友達が映っていた。
chirashi o miru tomo naku miteitara, tomodachi ga utsutteita.
Without looking intentionally, I somehow noticed a flyer that my friend appeared on.","何を買うともなく、デパートの中をブラブラしていたら、友人に会った。
nani o kau tomo naku, depaato no naka o burabura shiteitara, yuujin ni atta.
I met a friend when I was wandering around the department store without any particular intention of buying anything.","テレビを見るともなしに見ていたら、知り合いがテレビに出ていて驚いた。
terebi o miru tomo nashi ni mite itara, shiriai ga terebi ni dete ite odoroita.
Without any intention to watch TV, I noticed an acquaintance of mine appear on the TV and was surprised!","どこからともなく彼が現れた。
doko kara tomo naku kare ga arawareta.
He suddenly appeared out of nowhere."
とは(towa),I didn't know; I was surprised that; the fact that ~,"Meaning 意味 I didn't know; I was surprised that; the fact that ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Verb (casual) とは Noun +（だ/だった） な-adjective +（だ/だった） い-adjective + い",jlpt_n1,,"彼が犯人だったとは…
kare ga han'nin datta to wa…
I didn't think he was the culprit...","才能のある彼女が急に亡くなるとは、とても残念です。
sainou no aru kanojo ga kyuu ni naku naru towa, totemo zannen desu.
It's such a shame and shocking that such a talented person like her has suddenly died.","自分だけで日本語を勉強して、あそこまで会話が上手とはすごいなあ。
jibun dake de nihongo o benkyou shite, asoko made kaiwa ga jouzu to wa sugoi naa.
It's amazing that you are able to speak Japanese so well just from studying by yourself.","サンフランシスコは家賃が高いと聞いていたが、こんなに高いとは驚きだ。
sanfuranshisuko wa yachin ga takai to kiiteitaga, konnani takai towa odoroki da.
I heard that rent was expensive in San Francisco, but I never imagined it would be this high...","彼女がオリンピックで金メダルを取るとは誰も予想しなかった。
kanojo ga orinpikku de kinmedaru o toru to wa dare mo yosou shinakatta.
No one expected her to win the gold medal at the Olympics."
とは比べものにならない(towa kurabemono ni naranai),can't compare with ~,"Meaning 意味 can't compare with ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Noun とは比べものにならない Related Kanji 漢字 N2 Kanji: 比 (hi, kuraberu) Meaning: compare; race; ratio",jlpt_n1,,"彼女は美人で英語もぺらぺらだし、とても私とは比べものにならないです。
kanojo wa bijin de eigo mo perapera dashi, totemo watashi towa kurabemono ni naranai desu.
She is beautiful and fluent in English, so I can't even compare to her.","私の料理はお母さんとは比べものにならない。
watashi no ryouri wa okaasan towa kurabemono ni naranai.
My cooking skill cannot compare with my mother's.","今の車の性能は、昔とは比べものにならない。
ima no kuruma no seinou wa, mukashi towa kurabemono ni naranai.
Cars these days are much more fuel efficient than they were in the past.","彼はとても優秀で、お前とは比べものにならないよ。
kare wa totemo yuushuu de, omae towa kurabemono ni naranai yo.
He is so outstanding, how can he be compared to you.","例年とは比べものにならないほど楽しい夏休みを過ごした。
reinen towa kurabemono ni naranai hodo tanoshii natsuyasumi o sugoshita.
I had a summer vacation that was incomparably more enjoyable than usual."
つ～つ(tsu~tsu),and ~ (indicates two contrasting actions),"Meaning 意味 and ~ (indicates two contrasting actions)
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese conjunctions
How to use 使い方 Verb (stem) ます つ Verb (stem) ます つ",jlpt_n1,,"たくさんの亀が池の中を浮きつ沈みつしている。
takusan no kame ga ike no naka o uki tsu shizumi tsu shite iru.
Many turtles are floating and sinking in the pond.","どうしても欲しいゲームがあって、店の前を行きつ戻りつした。
doushitemo hoshii geemu ga atte, mise no mae o iki tsu modori tsu shita.
There was a game I really wanted, and I went back and forth in front of the store.","今日のレースでは、二人の選手が最後まで抜きつ抜かれつ一番争いをしていた。
kyou no reesu de wa, futari no senshu ga saigo made nuki tsu nukare tsu ichiban arasoi o shiteita.
In today's race, the top two athletes kept changing positions fighting for the top spot.","あのストーカーはカメラを持って、人気のアイドルの家の前を行きつ戻りつした。
ano sutookaa wa kamera o motte, ninki no aidoru no ie no mae o iki tsu modori tsu shita.
That stalker was walking back and forth holding his camera in front of a famous idol's house.","毎日押しつ押されつの満員電車に乗って会社に通うのは、正直しんどい。
mainichi oshi tsu osare tsu no man'in densha ni notte kaisha ni kayou no wa, shoujiki shindoi.
To be honest, it's hard to go to the office on a crowded train being pushed back and forth every day."
わ(wa),feminine sentence ending particle,"Meaning 意味 feminine sentence ending particle
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Phrase わ わね わよ わよね",jlpt_n1,,"知ってるわ。
shitteiru wa.
Yes, I know.","ちゃんとやるわ！
chanto yaru wa!
I will do my best!","今日は暑いわ。
kyou wa atsui wa.
It's hot today!","それはかなりあいまいですわね。
sore wa kanari aimai desu wa ne.
That's rather vague, isn't it?","まあ、直ぐになれますわよ。
maa, sugu ni naremasu wa yo.
Oh, you'll get used to it soon!"
はおろか(wa oroka),let alone; not to mention; needless to say ~,"Meaning 意味 let alone; not to mention; needless to say ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (dict.) + の/こと はおろか （も まで すら さえ） Noun",jlpt_n1,,"僕の地元はモールはおろかコンビニすらない。
boku no jimoto wa mooru wa oro ka konbini sura nai.
My hometown doesn't even have a convenience store, let alone a mall.","納豆は嫌いなので、食べることはおろか、匂いを嗅ぐこともしたくない。
nattou wa kirai na node, taberu koto wa oro ka, nioi o kagu koto mo shitakunai.
I hate natto, so I don't want to smell it, let alone eat it.","彼は敬語はおろか、簡単な日本語さえできない。
kare wa keigo wa oro ka, kantan na nihongo sae dekinai.
He can't even speak simple Japanese, let alone honorifics.","彼は自分の会社はおろか住んでいる家まで失ってしまった。
kare wa jibun no kaisha wa oro ka sunde iru ie made ushinatte shimatta.
He even lost the house he lived in, not to mention his company.","事故で怪我をして、歩くのはおろか立つことすらできない。
jiko de kega o shite, aruku no wa oro ka tatsu koto sura dekinai.
I was injured in an accident and can't even stand, let alone walk."
ようが / ようと(you ga / you to),even if; no matter how/what ~,"Meaning 意味 even if; no matter how/what ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (volitional) が と（も） Noun + だろう/であろう な-adjective + だろう/であろう い-adjective い + かろう",jlpt_n1,,"君が何歳であろうが関係ない。仕事が出来ればいい。
kimi ga nansai de arou ga kankei nai. shigoto ga dekireba ii.
As long as you can do the job, it doesn't matter how old you are.","誰と結婚しようが、私の勝手でしょ。
dare to kekkon shiyou ga, watashi no katte desho.
Who I marry is my choice.","あなたがどんなに謝ろうとも、今回は許しません。
anata ga donnani ayamarou tomo, konkai wa yurushimasen.
No matter how much you apologize, I'm not going to forgive you this time.","このマンションはどんなに騒ごうとも、外からは何も聞こえません。
kono manshon wa donnani sawagou tomo, soto kara wa nanimo kikoemasen.
No matter how loud you are in this apartment, you can't hear anything from outside.","必要だから、どんなに高かろうがこれを買わないといけません。
hitsuyou dakara, donnani takakarou ga kore wo kawanaito ikemasen.
It's necessary, so I will buy it no matter how high the price may be."
ようが～ようが / ようと～ようと(you ga~you ga / you to~you to),no matter; whether; even if [A] or [B],"Meaning 意味 no matter; whether; even if [A] or [B]
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (volitional) が と（も） Noun + だろう/であろう な-adjective + だろう/であろう い-adjective い + かろう",jlpt_n1,,"俺は魚だろうが肉だろうが、何でも食べる。
ore wa sakana darou ga niku darou ga, nandemo taberu.
Whether it be fish or meat, I'll eat anything.","雨が降ろうと雪が降ろうと明日のイベントには必ず行くよ。
ame ga furou to yuki ga furou to ashita no ibento ni wa kanarazu iku yo.
Come rain or snow, I'm definitely going to tomorrow's event!","速かろうがゆっくりであろうが、注意して運転しなさい。
hayakarou ga yukkuri de arou ga, chuui shite unten shinasai.
Whether you drive fast or slow, drive carefully.","良かろうが悪かろうが、自分の子だ。
yokarou ga warukarou ga, jibun no ko da.
Whether good or bad, it's my own child.","新品であろうと、中古であろうと、そんな型の古いパソコンは買うべきではないと思います。
shinpin de arou to, chuuko de arou to, sonna kata no furui pasokon wa kau beki de wa nai to omoimasu.
Whether that is a new or used, I don't think you should buy such and old model.."
ようにも～ない(you nimo~nai),even if I wanted to… I couldn’t ~,"Meaning 意味 even if I wanted to… I couldn’t ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
How to use 使い方 Verb (volitional / dictionary) にも Verb (ない potential) or (ない form)",jlpt_n1,,"風が強すぎて走ろうにも走れない。
kaze ga tsuyo sugite hashirou nimo hashirenai.
The wind was so strong that even if I tried to run, I couldn't.","結婚しようにも相手がいない。
kekkon shiyou nimo aite ga ainai.
Even if I wanted to get married, I don't have someone to marry.","天ぷらを作るにも作り方がわからない。
tenpura o tsukuru nimo tsukurikata ga wakaranai.
I want to make tempura, but don't know how to make it.","時間がないので友達と遊びに行こうにも行けない。
jikan ga nai node tomodachi to asobi ni ikou nimo ikenai.
Because I don't have time, even if I want to go out with my friends, I can't.","最終電車が行ってしまって、タクシーに乗ろうにもお金が足りない。
saishuu densha ga itte shimatte, takushii ni norou nimo okane ga tarinai.
The last train is gone and even if I wanted to take a taxi, I don't have enough money."
ようと～まいと / ようが～まいが(you to~mai to / you ga~mai ga),whether or not; regardless,"Meaning 意味 whether or not; regardless
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: よう expressions
How to use 使い方 V (volitional) と + Verb + まいと が + Verb + まいが How to use まい るV -> Vるまい / V ます まい うV -> Vるまい くる -> こまい / くるまい する -> しまい / すまい / するまい",jlpt_n1,,"彼が来ようが来まいが、私とは関係ない。
kare ga koyou ga komai ga, watashi to wa kankei nai.
It doesn't matter to me whether he comes or not.","雨が降ろうと降るまいと試合は行われる。
ame ga furou to furu mai to shiai ga okonawareru.
The match will be held rain or shine.","あなたが反対しようとしまいと僕は一人で行くつもりだ。
anata ga hantai shiyou to shimai to boku wa hitori de iku tsumori da.
I plan on going alone regardless if you are against it or not.","君が信じようが信じまいが、俺は盗んでない。
kimi ga shinji you ga shinji mai ga, ore wa nusundenai.
Whether you believe me or not, I didn't steal it.","私がいようがいまいが関係なく、彼らはケンカを始めた。
watashi ga i you ga i mai ga kankei naku, karera wa kenka o hajimeta.
Regarless of me being there, they started fighting."
ぞ・ぜ(zo / ze),ending particle; adds force or indicates command,"Meaning 意味 ending particle; adds force or indicates command
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: Japanese particles
How to use 使い方 Phrase ぞ / ぜ",jlpt_n1,,"がんばるぞ！
ganbaru zo!
I will do my best!","さあ, 始めるぞ！
saa, hajimeru zo!
Here goes!","一緒に勉強するぞ。
isshoni benkyou suru zo.
Let's study together!","遅れてるぞ。
okureteru zo.
You are too slow.","彼に逆らうと後悔するぞ。
kare ni sakarau to koukai suru zo.
You'll regret it if you cross him."
ずにはおかない / ないではおかない(zu niwa okanai / nai dewa okanai),will definitely/certainly do something; cannot not ~,"Meaning 意味 will definitely/certainly do something; cannot not ~
example sentences
vocabulary list
related grammar
Level: JLPT N1
Tags: double negative , ない stem grammar
How to use 使い方 Verb (ない form) + で はおかない Verb ない (ない stem) + ずに ※ する -> せずに",jlpt_n1,,"やられたらやり返せずにはおかない。
yararetara yarikae sezu niwa okanai.
You must fight back if you are defeated.","帰りが遅くなってしまった。父に叱られないではおかない。
kaeri ga osoku natte shimatta. chichi ni shikararenai dewa okanai.
I returned home late. I will definitely be scolded by father.","彼女の演技は見る人を感動させずにはおかない。
kanojo no engi wa miru hito o kandou sasezu niwa okanai.
Her performance move the audience without fail.","指名手配犯を目撃したのだから、警察に通報せずにはおかない。
shimei tehaihan o mokugeki shita no da kara, keisatsu ni tsuuhou sezu niwa okanai.
Since I witnessed a wanted criminal, I must report it to the police.","彼女の美しさは多くの男性を虜にさせずにはおかない。
kanojo no utsukushisa wa ooku no dansei o toriko ni sasezu niwa okanai.
Her beauty cannot help captivating many men."
